week,age,fin,prio,avgphests,avgtvests
0,44,0,3,1,1
1,44,0,3,0.9973048447,0.9975018541
2,44,0,3,0.9946126312,0.9950075085
3,44,0,3,0.9919282799,0.9925127495
4,44,0,3,0.9892488981,0.9900195798
5,44,0,3,0.9865707311,0.9875300646
6,44,0,3,0.983892663,0.9850428554
7,44,0,3,0.9812115289,0.9825556767
8,44,0,3,0.9679192678,0.9702074016
9,44,0,3,0.9625970125,0.9652494424
10,44,0,3,0.9599437517,0.9627730097
11,44,0,3,0.9546175344,0.9578063316
12,44,0,3,0.9492346763,0.9528022482
13,44,0,3,0.9465497184,0.9503024975
14,44,0,3,0.9385261151,0.9428251091
15,44,0,3,0.933154519,0.9378187135
16,44,0,3,0.9277952871,0.9328171934
17,44,0,3,0.9198079941,0.9253429309
18,44,0,3,0.9117850969,0.9178411249
19,44,0,3,0.9064308994,0.912832174
20,44,0,3,0.8931385227,0.900379248
21,44,0,3,0.8878379546,0.8927113324
22,44,0,3,0.8851928658,0.8888867578
23,44,0,3,0.8825433008,0.885075973
24,44,0,3,0.8720249535,0.8699995068
25,44,0,3,0.8641830406,0.8588374463
26,44,0,3,0.8562440608,0.847482151
27,44,0,3,0.8509682209,0.8399539933
28,44,0,3,0.8457046705,0.8324596596
30,44,0,3,0.8404374025,0.8276681458
31,44,0,3,0.8378031878,0.8252708904
32,44,0,3,0.8325392472,0.8204801444
33,44,0,3,0.8272831822,0.8156936197
34,44,0,3,0.8220052866,0.8108863125
35,44,0,3,0.8114986504,0.8013074309
36,44,0,3,0.8036305007,0.7941199461
37,44,0,3,0.793197882,0.7845687742
38,44,0,3,0.7905797551,0.782170875
39,44,0,3,0.7853574408,0.7773882744
40,44,0,3,0.7749781243,0.7678930463
42,44,0,3,0.7697673713,0.7631154276
43,44,0,3,0.7594364416,0.7536466166
44,44,0,3,0.7542258776,0.7488695541
45,44,0,3,0.7490201309,0.7440965627
46,44,0,3,0.7386418451,0.7345644741
47,44,0,3,0.7360464248,0.7321820962
48,44,0,3,0.7308690874,0.7274335778
49,44,0,3,0.7180051656,0.7156426487
50,44,0,3,0.7103149322,0.7085830568
52,44,0,3,0.7000550826,0.6991458414
0,44,1,3,1,1
1,44,1,3,0.9980929926,0.9978703154
2,44,1,3,0.9961861073,0.9957429529
3,44,1,3,0.9942828364,0.9936143259
4,44,1,3,0.9923811383,0.9914861468
5,44,1,3,0.99047835,0.9893601826
6,44,1,3,0.9885736756,0.9872352844
7,44,1,3,0.9866648562,0.9851095073
8,44,1,3,0.9771723073,0.9745419497
9,44,1,3,0.9733577558,0.9702925656
10,44,1,3,0.9714531705,0.9681686702
11,44,1,3,0.9676239164,0.9639062239
12,44,1,3,0.9637458426,0.9596078519
13,44,1,3,0.9618084119,0.9574591796
14,44,1,3,0.9560064994,0.9510261087
15,44,1,3,0.952112011,0.9467139772
16,44,1,3,0.9482182382,0.9424020184
17,44,1,3,0.9423996509,0.9359506474
18,44,1,3,0.9365364548,0.929466246
19,44,1,3,0.9326130777,0.9251313572
20,44,1,3,0.9228362394,0.914335769
21,44,1,3,0.9189228667,0.9127732258
22,44,1,3,0.9169668601,0.9119888539
23,44,1,3,0.915005429,0.9112038952
24,44,1,3,0.9071978663,0.9080644358
25,44,1,3,0.9013549731,0.9057041815
26,44,1,3,0.8954204297,0.9032704009
27,44,1,3,0.8914657948,0.9016380484
28,44,1,3,0.8875116847,0.8999975268
30,44,1,3,0.8835460427,0.8954850641
31,44,1,3,0.8815594883,0.8932251048
32,44,1,3,0.8775831467,0.8887040809
33,44,1,3,0.8736039064,0.8841813027
34,44,1,3,0.8695991861,0.8796330671
35,44,1,3,0.8616001099,0.8705542743
36,44,1,3,0.8555860993,0.8637280909
37,44,1,3,0.8475802534,0.8546382154
38,44,1,3,0.8455654183,0.852352495
39,44,1,3,0.8415395662,0.8477886306
40,44,1,3,0.8335106674,0.8387106215
42,44,1,3,0.8294659562,0.8341327357
43,44,1,3,0.8214189621,0.8250421781
44,44,1,3,0.8173461426,0.8204469344
45,44,1,3,0.813267494,0.8158489809
46,44,1,3,0.8051073192,0.8066478344
47,44,1,3,0.8030605408,0.8043441107
48,44,1,3,0.798970319,0.7997468384
49,44,1,3,0.7887649085,0.7883041745
50,44,1,3,0.7826345893,0.7814344413
52,44,1,3,0.7744211238,0.7722250638
